State,Population,totalPopulation,Percentage
Alabama,11154,4822023,0.2313
Alaska,3726,731449,0.5094
Arizona,42331,6553255,0.646
Arkansas,6301,2949131,0.2137
California,1451537,38041430,3.8157
Colorado,33344,5187582,0.6428
Connecticut,36483,3590347,1.0161
Delaware,7033,917092,0.7669
District of Columbia,6583,632323,1.0411
Florida,94244,19317568,0.4879
Georgia,54298,9919945,0.5474
Hawaii,199751,1392313,14.3467
Idaho,5473,1595728,0.343
Illinois,119308,12875255,0.9266
Indiana,26038,6537334,0.3983
Iowa,11494,3074186,0.3739
Kansas,13448,2885905,0.466
Kentucky,10512,4380415,0.24
Louisiana,11953,4601893,0.2597
Maine,4390,1329192,0.3303
Maryland,79660,5884563,1.3537
Massachusetts,136866,6646144,2.0593
Michigan,51525,9883360,0.5213
Minnesota,30047,5379139,0.5586
Mississippi,5333,2984926,0.1787
Missouri,26001,6021988,0.4318
Montana,1919,1005141,0.1909
Nebraska,5730,1855525,0.3088
Nevada,39448,2758931,1.3298
New Hampshire,7652,1320718,0.5794
New Jersey,149356,8864590,1.6849
New Mexico,7668,2085538,0.3677
New York,615932,19570261,3.1473
North Carolina,40820,9656401,0.4227
North Dakota,1762,699628,0.2518
Ohio,50870,11544225,0.4407
Oklahoma,11658,3814820,0.3056
Oregon,41374,3899353,1.061
Pennsylvania,96606,12763536,0.7569
Rhode Island,8228,1050292,0.7834
South Carolina,11706,4723723,0.2478
South Dakota,1570,833354,0.1884
Tennessee,18313,6456243,0.2836
Texas,182477,26059203,0.7002
Utah,16358,2855287,0.5729
Vermont,2833,626011,0.4525
Virginia,72585,8185867,0.8867
Washington,120814,6897012,1.7517
West Virginia,3208,1855413,0.1729
Wisconsin,21054,5726386,0.3677
Wyoming,1340,576412,0.2325
