CountryName,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
India,9,38,33,42,50,166,247,102,3026,3478,2076,554,1692,1922,18638,148018,231649,352528,590464
Mainland China,3,8,32,35933,54028,133139,65797,15268,19884,20916,30648,5874,16072,8836,14060,17087,342058,591711,591711
Taiwan,,,,,,,,,,,,,,721,15657,83155,119051,132647,92657
Philippines,,,,,,4,1,19,605,,,457,4099,17245,70660,337726,502056,534338,545463
Hong Kong,,,,,,,,,,,,,,13781,67047,117350,112132,116894,57583
Japan,,,,,138,193,1583,13998,139712,77125,42057,2683,1557,41968,40956,52812,44150,66582,84552
Korea,,,,,,,,,,,,,83,4845,27048,241192,322708,179770,209758
United Kingdom,26336,74350,218572,445322,532956,578447,810900,328759,469518,371878,342762,61813,131794,195709,220213,133218,153644,156182,171979
Spain,2866,2016,1917,8803,6970,5571,3999,9189,24818,53262,47109,3669,2774,6880,40793,41718,22783,18443,17695
France,7694,39330,75300,81778,35938,71901,48193,35616,67735,60335,54842,13761,36954,50113,46975,27018,32894,36552,45637
