name,xccord,yccord,remittance,
Australia,-25.274398,133.775136,2932,
Canada,56.130366,-106.346771,4188,
France,46.227638,2.213749,585,
Germany,51.165691,10.451526,647,
"Hong Kong SAR, China",22.396428,114.109497,15562,
Indonesia,-0.789275,113.921327,351,
Italy,41.87194,12.56738,1170,
Japan,36.204824,138.252924,4191,
South Korea,36.1,127.7,4124,
"Macao SAR, China",22.207793,113.554619,2205,
Malaysia,4.210484,101.975766,331,
Myanmar,21.916221,95.955974,265,
Netherlands,52.132633,5.291266,417,
New Zealand,-40.900557,174.885971,622,
Philippines,12.879721,121.774017,201,
Russian Federation,61.52401,105.318756,323,
Singapore,1.352083,103.819836,2785,
Spain,40.463667,-3.74922,1067,
Thailand,15.870032,100.992541,847,
United Kingdom,53.6,-2.3,974,
United States,40.249068,-99.57731,16234,
